"description","category_id","priority_id","is_completed","firebaseId","task_id","due_date","overdue"
"Homework for art ",3,3,"Incomplete","1300c9bb-6e8b-4785-83ac-bebea556ec67",NA,2025-10-10,"On Time"
"build a house. ",2,1,"Incomplete","149e4b41-3722-4b4d-ad9f-f29165b63204",0,NA,"On Time"
"bible study ",2,1,"Incomplete","233400f7-069c-4ed4-bace-54f78528863d",NA,2025-07-05,"Overdue"
"test",1,3,"Incomplete","2474e274-05aa-46c7-b71f-54b8628ddc42",0,NA,"On Time"
"working out",2,3,"Incomplete","407d5058-1277-4535-90eb-05bfcccd23e6",0,NA,"On Time"
"Buy pizza today",2,3,"Incomplete","57584eaf-1b72-4ecf-9093-c271897194a3",0,NA,"On Time"
"jump to work",1,1,"Incomplete","856500c8-dd57-47c5-a8ea-2e3597e60637",0,NA,"On Time"
"Paint a picture ",2,2,"Incomplete","9c3250d9-6ca2-47de-92e7-9cf64e8f543e",0,NA,"On Time"
"asdaasdfasdfa",3,2,"Incomplete","c625865f-9a46-4e63-b51a-1c270e522377",0,NA,"On Time"
"Google about Coding",3,2,"Incomplete","c6f1ad54-2536-489f-8594-fa26dacb44dc",NA,2025-07-06,"Overdue"
"study for test ",3,1,"Incomplete","d3e61bfe-0364-4385-8747-11aa6c4cf64a",0,NA,"On Time"
"Complete Shed",2,2,"Incomplete","d86c5d08-6fa1-4c03-be21-3043dc1910d2",NA,2025-07-13,"On Time"
"Read 3 Books",2,3,"Incomplete","ff122186-4ce9-4576-a40f-96429f3de248",0,NA,"On Time"
